Email, Password, Name, Phone, Gender,BusinessId,Store
ven_257_1@gmail.com,123456,ven_257_1,6666666001,M,1,Y
ven_257_2@gmail.com,123456,ven_257_2,6666666002,M,2,Y
ven_257_3@gmail.com,123456,ven_257_3,6666666003,M,3,Y
ven_257_4@gmail.com,123456,ven_257_4,6666666004,M,4,Y
ven_257_5@gmail.com,123456,ven_257_5,6666666005,M,5,Y
ven_257_6@gmail.com,123456,ven_257_6,6666666006,M,6,Y
ven_257_7@gmail.com,123456,ven_257_7,6666666007,M,7,Y
ven_257_8@gmail.com,123456,ven_257_8,6666666008,M,8,Y
ven_257_9@gmail.com,123456,ven_257_9,6666666009,M,9,Y
ven_257_10@gmail.com,123456,ven_257_10,6666666010,M,10,Y
ven_257_11@gmail.com,123456,ven_257_11,6666666011,M,11,Y
ven_257_12@gmail.com,123456,ven_257_12,6666666012,M,12,Y
ven_257_13@gmail.com,123456,ven_257_13,6666666013,M,13,Y
ven_257_14@gmail.com,123456,ven_257_14,6666666014,M,1,Y
ven_257_15@gmail.com,123456,ven_257_15,6666666015,M,2,Y
ven_257_16@gmail.com,123456,ven_257_16,6666666016,M,3,Y
ven_257_17@gmail.com,123456,ven_257_17,6666666017,M,4,Y
ven_257_18@gmail.com,123456,ven_257_18,6666666018,M,5,Y
ven_257_19@gmail.com,123456,ven_257_19,6666666019,M,6,Y
ven_257_20@gmail.com,123456,ven_257_20,6666666020,M,7,Y
ven_257_21@gmail.com,123456,ven_257_21,6666666021,M,8,Y
ven_257_22@gmail.com,123456,ven_257_22,6666666022,M,9,Y
ven_257_23@gmail.com,123456,ven_257_23,6666666023,M,10,Y
ven_257_24@gmail.com,123456,ven_257_24,6666666024,M,11,Y
ven_257_25@gmail.com,123456,ven_257_25,6666666025,M,12,Y
ven_257_26@gmail.com,123456,ven_257_26,6666666026,M,13,Y
ven_257_27@gmail.com,123456,ven_257_27,6666666027,M,1,Y
ven_257_28@gmail.com,123456,ven_257_28,6666666028,M,2,Y
ven_257_29@gmail.com,123456,ven_257_29,6666666029,M,3,Y
ven_257_30@gmail.com,123456,ven_257_30,6666666030,M,4,Y
ven_257_31@gmail.com,123456,ven_257_31,6666666031,M,5,Y
ven_257_32@gmail.com,123456,ven_257_32,6666666032,M,6,Y
ven_257_33@gmail.com,123456,ven_257_33,6666666033,M,7,Y
ven_257_34@gmail.com,123456,ven_257_34,6666666034,M,8,Y
ven_257_35@gmail.com,123456,ven_257_35,6666666035,M,9,Y
ven_257_36@gmail.com,123456,ven_257_36,6666666036,M,10,Y
ven_257_37@gmail.com,123456,ven_257_37,6666666037,M,11,Y
ven_257_38@gmail.com,123456,ven_257_38,6666666038,M,12,Y
ven_257_39@gmail.com,123456,ven_257_39,6666666039,M,13,Y
ven_257_40@gmail.com,123456,ven_257_40,6666666040,M,1,Y
ven_257_41@gmail.com,123456,ven_257_41,6666666041,M,2,Y
ven_257_42@gmail.com,123456,ven_257_42,6666666042,M,3,Y
ven_257_43@gmail.com,123456,ven_257_43,6666666043,M,4,Y
ven_257_44@gmail.com,123456,ven_257_44,6666666044,M,5,Y
ven_257_45@gmail.com,123456,ven_257_45,6666666045,M,6,Y
ven_257_46@gmail.com,123456,ven_257_46,6666666046,M,7,Y
ven_257_47@gmail.com,123456,ven_257_47,6666666047,M,8,Y
ven_257_48@gmail.com,123456,ven_257_48,6666666048,M,9,Y
ven_257_49@gmail.com,123456,ven_257_49,6666666049,M,10,Y
